temperature,salinity,death
24,40,0
16,39,0
16,39,0
16,39,0
15,37,0
15,37,0
15,37,0
15,36,0
15,36,0
15,36,0
14,36,0
10,35,0
10,35,0
6,32,0
6,34,0
6,34,0
6,2,1
22,40,0
9,31,0
9,31,0
26,34,0
26,34,0
19,33,0
19,33,0
23,34,0
26,34,0
31,32,0
30,32,0
29,32,0
28,35,0
28,34,0
28,34,0
29,35,0
29,36,1
28,35,0
21,35,0
20,4,0
23,4,1
24,40,0
16,39,0
16,39,0
16,39,0
15,37,0
15,37,0
15,37,0
15,36,0
15,36,0
15,36,0
14,36,0
10,35,0
10,35,0
6,32,0
6,34,0
6,34,0
6,2,1
22,40,0
17,8,1
27,37,0
30,39,0
32,39,0
27,39,0
27,40,0
27,39,0
26,40,0
25,38,0
28,37,0
26,38,0
26,37,0
26,38,0
26,37,0
26,38,0
25,38,0
25,38,0
26,40,0
26,38,0
26,40,0
26,38,0
26,39,0
26,39,0
27,39,0
32,38,0
31,39,0
29,39,0
35,40,0
31,39,0
31,37,0
29,37,0
27,38,1
27,37,0
24,28,0
25,28,0
25,28,0
25,30,0
25,30,0
26,30,0
25,35,0
26,37,0
26,39,0
26,37,0
27,38,0
27,38,0
27,38,0
26,39,0
30,39,0
27,39,0
29,37,0
29,39,0
29,40,0
29,35,0
20,36,0
32,37,0
32,37,0
34,40,0
34,28,0
35,29,1
27,39,0
27,38,0
27,38,0
27,36,0
25,39,0
27,38,0
32,38,0
26,39,0
30,39,0
30,40,0
31,40,0
29,38,0
27,36,0
32,36,1
24,40,0
16,39,0
16,39,0
16,39,0
16,40,0
16,39,0
15,37,0
15,37,0
15,37,0
15,37,0
14,36,0
13,36,0
13,36,0
9,35,0
9,36,0
9,35,0
7,36,0
6,2,1
22,40,0
17,8,1
24,40,0
18,33,0
18,33,0
18,34,0
19,34,0
19,34,0
26,34,0
26,35,0
32,32,0
29,32,0
30,32,0
29,33,0
27,33,0
29,34,1
24,40,0
32,32,0
31,32,0
30,33,0
28,34,0
28,34,0
29,35,0
29,36,0
29,37,0
27,38,0
26,35,0
26,34,0
25,39,0
25,39,0
22,39,0
24,40,0
16,39,0
17,39,0
15,39,0
15,39,0
15,38,0
8,28,1
27,39,0
27,38,0
27,38,0
27,36,0
25,39,0
27,38,0
32,38,0
26,39,0
30,39,0
30,40,0
31,40,0
29,38,0
27,36,0
32,36,0
32,36,0
34,31,0
34,29,0
31,35,0
29,36,0
27,36,1
27,39,0
27,33,0
27,31,0
27,29,0
27,34,0
30,33,0
31,32,0
27,33,0
29,33,0
29,31,0
30,30,0
30,33,0
31,32,0
32,32,0
32,32,0
28,35,0
29,36,0
29,36,0
27,36,0
27,36,0
31,36,0
31,35,0
28,39,0
31,39,0
31,39,0
26,39,0
23,36,0
23,39,0
20,36,0
17,36,0
17,36,0
22,40,0
9,31,0
9,31,0
13,34,0
13,34,0
19,34,0
19,34,0
18,33,0
18,33,0
19,34,0
19,34,0
27,34,0
29,32,0
29,32,0
29,33,0
29,32,1
22,40,0
9,31,0
17,34,0
18,33,0
19,33,0
19,34,0
19,34,0
26,34,0
29,32,0
31,32,0
30,33,0
27,33,0
28,34,0
29,36,0
28,37,0
29,37,0
28,36,0
29,35,0
26,37,0
24,40,0
17,39,1
28,35,0
30,8,1
27,39,0
28,39,0
31,30,0
31,33,0
31,33,0
30,30,0
31,32,0
31,34,0
31,33,0
30,32,0
30,34,0
30,33,0
28,35,0
29,34,0
29,34,0
28,36,0
28,36,0
29,36,0
29,37,0
29,36,0
29,36,0
29,33,0
28,33,0
29,33,0
27,35,0
29,35,0
27,35,0
29,34,0
31,34,0
32,32,0
30,32,0
27,37,0
27,39,0
32,39,0
27,39,0
26,39,0
25,39,0
24,40,0
23,40,0
23,39,0
24,40,0
23,38,0
23,39,0
25,29,0
25,29,0
25,29,0
26,34,0
26,39,0
23,36,0
33,39,0
27,39,0
29,38,0
32,35,0
32,37,0
29,36,0
25,36,0
31,38,0
31,40,0
35,29,1
27,39,0
27,32,0
27,31,0
31,31,0
31,33,0
31,33,0
32,33,0
30,34,0
29,34,0
30,32,0
30,32,0
30,33,0
28,35,0
29,34,0
29,34,0
29,36,0
28,36,0
27,37,0
27,36,0
30,36,1
28,35,0
21,36,0
20,35,0
23,40,0
23,38,0
26,37,0
27,39,0
31,39,0
29,39,0
30,38,0
30,36,0
22,36,0
23,39,0
23,39,0
33,38,0
34,39,0
34,39,0
34,27,0
34,29,0
34,37,0
33,39,0
33,36,1
27,37,0
30,39,0
27,39,0
30,38,0
30,37,0
26,37,0
27,36,0
26,36,0
28,36,0
28,36,0
29,35,0
29,34,0
30,33,0
30,32,0
29,32,0
30,33,0
30,34,0
29,35,0
29,37,0
29,36,0
26,35,0
29,33,0
29,29,0
29,31,0
28,32,0
34,13,1
27,39,0
28,39,0
28,33,0
28,35,0
31,8,1
22,40,0
17,8,1
22,40,0
17,39,0
23,39,0
26,38,0
26,34,0
26,36,0
26,36,0
26,37,0
29,36,0
31,36,1
28,35,0
30,34,0
30,32,0
30,36,0
30,34,0
29,34,0
29,36,0
23,37,0
29,37,0
24,37,0
31,37,0
31,29,0
31,30,0
31,36,0
33,38,0
34,40,0
34,40,0
34,40,0
34,40,0
34,40,0
33,40,0
33,33,1
24,40,0
16,38,0
15,38,0
15,38,0
16,39,0
18,40,0
16,39,0
22,39,0
26,39,0
26,39,0
24,38,0
26,35,0
26,36,0
26,37,0
24,37,0
24,29,0
22,32,0
23,35,0
25,37,0
26,37,0
27,37,0
29,36,0
29,33,0
29,30,0
29,31,0
31,34,0
32,31,0
32,31,0
24,40,0
16,39,0
16,39,0
18,39,0
16,39,0
15,39,0
15,39,0
17,39,0
16,38,0
16,37,0
16,38,0
14,38,0
8,29,0
8,29,0
8,29,0
8,38,0
14,39,0
17,39,0
16,39,0
22,39,0
24,39,0
25,36,0
26,34,0
26,37,0
25,37,0
25,37,0
24,37,0
24,26,0
23,29,0
23,35,0
23,36,0
28,35,0
30,34,0
27,33,0
28,34,0
29,32,0
31,34,0
30,36,0
31,34,0
29,34,0
29,34,0
30,34,0
30,32,0
30,34,0
29,34,0
31,34,0
31,34,0
31,32,0
31,32,0
28,33,0
26,35,0
30,34,0
30,33,0
30,35,0
25,37,0
29,36,0
27,36,0
26,36,0
26,36,0
31,37,0
30,39,0
30,39,0
24,40,0
8,28,0
8,28,0
8,28,0
8,29,0
8,29,0
8,29,0
15,35,0
14,35,0
14,38,0
16,37,0
15,38,1
